['ROOT', 'ROOT', '0.0']->['8736882', '524925215235911680', '0.0']
['8736882', '524925215235911680', '0.0']->['53313796', '524925215235911680', '0.25']
['8736882', '524925215235911680', '0.0']->['51506271', '524925215235911680', '0.28']
['8736882', '524925215235911680', '0.0']->['18518051', '524925215235911680', '0.3']
['8736882', '524925215235911680', '0.0']->['318889294', '524925215235911680', '0.37']
['8736882', '524925215235911680', '0.0']->['20290474', '524925215235911680', '0.38']
['8736882', '524925215235911680', '0.0']->['126486040', '524925215235911680', '0.38']
['8736882', '524925215235911680', '0.0']->['367555977', '524925215235911680', '0.48']
['8736882', '524925215235911680', '0.0']->['2663115926', '524925215235911680', '0.53']
['8736882', '524925215235911680', '0.0']->['18787394', '524925215235911680', '0.58']
['8736882', '524925215235911680', '0.0']->['2306768839', '524925215235911680', '0.62']
['8736882', '524925215235911680', '0.0']->['1182947209', '524925215235911680', '0.68']
['8736882', '524925215235911680', '0.0']->['26673352', '524925215235911680', '0.73']
['8736882', '524925215235911680', '0.0']->['19114548', '524925215235911680', '0.88']
['8736882', '524925215235911680', '0.0']->['26355626', '524925215235911680', '0.96']
